product,category,date,mean,p10,p50,p90
box outlet flip top,Box Outlet,2025-05-01,8.079474264481798,6.799474264481797,8.079474264481798,9.359474264481797
box outlet flip top,Box Outlet,2025-06-01,8.053158493997525,6.773158493997525,8.053158493997525,9.333158493997527
box outlet flip top,Box Outlet,2025-07-01,8.154819338339058,6.874819338339058,8.154819338339058,9.434819338339057
box outlet flip top,Box Outlet,2025-08-01,8.395479037940182,7.115479037940182,8.395479037940182,9.675479037940182
box outlet flip top,Box Outlet,2025-09-01,8.336388491060118,7.056388491060118,8.336388491060118,9.616388491060118
box outlet flip top,Box Outlet,2025-10-01,8.280531933842253,7.000531933842253,8.280531933842253,9.560531933842253
box outlet flip top,Box Outlet,2025-11-01,8.528039780132978,7.248039780132978,8.528039780132978,9.80803978013298
box outlet flip top,Box Outlet,2025-12-01,8.63253206910376,7.35253206910376,8.63253206910376,9.912532069103762
box outlet flip top,Box Outlet,2026-01-01,8.519850411804448,7.239850411804448,8.519850411804448,9.79985041180445
box outlet flip top,Box Outlet,2026-02-01,8.586308499429716,7.306308499429716,8.586308499429716,9.866308499429717
box outlet flip top,Box Outlet,2026-03-01,8.477412128966595,7.197412128966595,8.477412128966595,9.757412128966596
box outlet flip top,Box Outlet,2026-04-01,8.374577861283523,7.094577861283523,8.374577861283523,9.654577861283524
box outlet flip top,Box Outlet,2026-05-01,8.396375605873802,7.1163756058738015,8.396375605873802,9.676375605873801
box outlet flip top,Box Outlet,2026-06-01,8.055264434111212,6.775264434111212,8.055264434111212,9.335264434111213
box outlet flip top,Box Outlet,2026-07-01,7.774607827045523,6.494607827045523,7.774607827045523,9.054607827045523
box outlet flip top,Box Outlet,2026-08-01,7.698446135175508,6.4184461351755075,7.698446135175508,8.978446135175508
box outlet flip top,Box Outlet,2026-09-01,7.557579311938252,6.2775793119382515,7.557579311938252,8.837579311938253
box outlet flip top,Box Outlet,2026-10-01,7.627199329134416,6.3471993291344155,7.627199329134416,8.907199329134416
box outlet flip top,Box Outlet,2026-11-01,7.507325750284629,6.227325750284629,7.507325750284629,8.78732575028463
box outlet flip top,Box Outlet,2026-12-01,7.3199069838852635,6.039906983885263,7.3199069838852635,8.599906983885264
box outlet flip top,Box Outlet,2027-01-01,7.5684798878820345,6.288479887882034,7.5684798878820345,8.848479887882036
box outlet flip top,Box Outlet,2027-02-01,7.5558802257000774,6.275880225700077,7.5558802257000774,8.835880225700077
box outlet flip top,Box Outlet,2027-03-01,7.588290914944643,6.308290914944643,7.588290914944643,8.868290914944644
box outlet flip top,Box Outlet,2027-04-01,7.392648294846862,6.112648294846862,7.392648294846862,8.672648294846862
credenza crd 01,Credenza Series,2025-05-01,1.0099342830602247,0.8499342830602247,1.0099342830602247,1.1699342830602246
credenza crd 01,Credenza Series,2025-06-01,1.0066448117496907,0.8466448117496906,1.0066448117496907,1.1666448117496908
credenza crd 01,Credenza Series,2025-07-01,1.0193524172923822,0.8593524172923822,1.0193524172923822,1.1793524172923822
credenza crd 01,Credenza Series,2025-08-01,1.0494348797425228,0.8894348797425228,1.0494348797425228,1.2094348797425227
credenza crd 01,Credenza Series,2025-09-01,1.0420485613825148,0.8820485613825148,1.0420485613825148,1.2020485613825147
credenza crd 01,Credenza Series,2025-10-01,1.0350664917302816,0.8750664917302816,1.0350664917302816,1.1950664917302816
credenza crd 01,Credenza Series,2025-11-01,1.0660049725166223,0.9060049725166223,1.0660049725166223,1.2260049725166224
credenza crd 01,Credenza Series,2025-12-01,1.07906650863797,0.91906650863797,1.07906650863797,1.2390665086379702
credenza crd 01,Credenza Series,2026-01-01,1.064981301475556,0.904981301475556,1.064981301475556,1.2249813014755562
credenza crd 01,Credenza Series,2026-02-01,1.0732885624287145,0.9132885624287145,1.0732885624287145,1.2332885624287147
credenza crd 01,Credenza Series,2026-03-01,1.0596765161208244,0.8996765161208243,1.0596765161208244,1.2196765161208245
credenza crd 01,Credenza Series,2026-04-01,1.0468222326604404,0.8868222326604404,1.0468222326604404,1.2068222326604405
credenza crd 01,Credenza Series,2026-05-01,1.0495469507342252,0.8895469507342252,1.0495469507342252,1.2095469507342251
credenza crd 01,Credenza Series,2026-06-01,1.0069080542639015,0.8469080542639015,1.0069080542639015,1.1669080542639017
credenza crd 01,Credenza Series,2026-07-01,0.9718259783806904,0.8118259783806904,0.9718259783806904,1.1318259783806903
credenza crd 01,Credenza Series,2026-08-01,0.9623057668969385,0.8023057668969384,0.9623057668969385,1.1223057668969385
credenza crd 01,Credenza Series,2026-09-01,0.9446974139922815,0.7846974139922814,0.9446974139922815,1.1046974139922816
credenza crd 01,Credenza Series,2026-10-01,0.953399916141802,0.7933999161418019,0.953399916141802,1.113399916141802
credenza crd 01,Credenza Series,2026-11-01,0.9384157187855786,0.7784157187855786,0.9384157187855786,1.0984157187855788
credenza crd 01,Credenza Series,2026-12-01,0.9149883729856579,0.7549883729856579,0.9149883729856579,1.074988372985658
credenza crd 01,Credenza Series,2027-01-01,0.9460599859852543,0.7860599859852543,0.9460599859852543,1.1060599859852545
credenza crd 01,Credenza Series,2027-02-01,0.9444850282125097,0.7844850282125096,0.9444850282125097,1.1044850282125096
credenza crd 01,Credenza Series,2027-03-01,0.9485363643680804,0.7885363643680804,0.9485363643680804,1.1085363643680806
credenza crd 01,Credenza Series,2027-04-01,0.9240810368558577,0.7640810368558577,0.9240810368558577,1.0840810368558578
credenza crd 01 1200,Credenza ,2025-05-01,2.0198685661204494,1.6998685661204493,2.0198685661204494,2.3398685661204492
credenza crd 01 1200,Credenza ,2025-06-01,2.0132896234993813,1.6932896234993813,2.0132896234993813,2.3332896234993816
credenza crd 01 1200,Credenza ,2025-07-01,2.0387048345847645,1.7187048345847644,2.0387048345847645,2.3587048345847643
credenza crd 01 1200,Credenza ,2025-08-01,2.0988697594850456,1.7788697594850456,2.0988697594850456,2.4188697594850455
credenza crd 01 1200,Credenza ,2025-09-01,2.0840971227650296,1.7640971227650295,2.0840971227650296,2.4040971227650294
credenza crd 01 1200,Credenza ,2025-10-01,2.0701329834605633,1.7501329834605632,2.0701329834605633,2.390132983460563
credenza crd 01 1200,Credenza ,2025-11-01,2.1320099450332446,1.8120099450332445,2.1320099450332446,2.452009945033245
credenza crd 01 1200,Credenza ,2025-12-01,2.15813301727594,1.83813301727594,2.15813301727594,2.4781330172759404
credenza crd 01 1200,Credenza ,2026-01-01,2.129962602951112,1.809962602951112,2.129962602951112,2.4499626029511123
credenza crd 01 1200,Credenza ,2026-02-01,2.146577124857429,1.826577124857429,2.146577124857429,2.4665771248574293
credenza crd 01 1200,Credenza ,2026-03-01,2.1193530322416487,1.7993530322416487,2.1193530322416487,2.439353032241649
credenza crd 01 1200,Credenza ,2026-04-01,2.0936444653208808,1.7736444653208807,2.0936444653208808,2.413644465320881
credenza crd 01 1200,Credenza ,2026-05-01,2.0990939014684504,1.7790939014684504,2.0990939014684504,2.4190939014684503
credenza crd 01 1200,Credenza ,2026-06-01,2.013816108527803,1.693816108527803,2.013816108527803,2.3338161085278033
credenza crd 01 1200,Credenza ,2026-07-01,1.9436519567613808,1.6236519567613807,1.9436519567613808,2.2636519567613806
credenza crd 01 1200,Credenza ,2026-08-01,1.924611533793877,1.6046115337938769,1.924611533793877,2.244611533793877
credenza crd 01 1200,Credenza ,2026-09-01,1.889394827984563,1.5693948279845629,1.889394827984563,2.209394827984563
credenza crd 01 1200,Credenza ,2026-10-01,1.906799832283604,1.5867998322836039,1.906799832283604,2.226799832283604
credenza crd 01 1200,Credenza ,2026-11-01,1.8768314375711572,1.5568314375711572,1.8768314375711572,2.1968314375711575
credenza crd 01 1200,Credenza ,2026-12-01,1.8299767459713159,1.5099767459713158,1.8299767459713159,2.149976745971316
